"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0402_1005Metric";2;"0.1u";;;
2;"C3";"C_0402_1005Metric";1;"1.5n";;;
3;"C4";"C_0402_1005Metric";1;"33p";;;
4;"C5";"C_0402_1005Metric";1;"10p";;;
5;"D1";"D_SMA";1;"D";;;
6;"H1";"MountingHole_2.1mm";1;"Strain+";;;
7;"H2";"MountingHole_2.1mm";1;"Strain-";;;
8;"J2";"PinSocket_1x02_P2.54mm_Vertical";1;"Fan";;;
9;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
10;"L1";"L_Bourns_SRR1210A";1;"170u";;;
11;"Q1";"SOT-23";1;"AO3400A";;;
12;"R1";"R_0402_1005Metric";1;"100k";;;
13;"R2";"R_0402_1005Metric";1;"1.5k";;;
14;"R3";"R_1206_3216Metric";1;"0.1";;;
15;"R4";"R_0402_1005Metric";1;"13k";;;
16;"R5";"R_0402_1005Metric";1;"82";;;
17;"TH1";"L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1";1;"100k";;;
18;"U1";"TO-252-2";1;"LM317_3PinPackage";;;
19;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
20;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MC34063AD";;;
21;"J1";"USB_A_PCBEDGE";1;"USB_A";;;
