Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",176.005000,-114.460000,0.000000,top
"C2","0.1u","C_0402_1005Metric",182.460000,-109.765000,270.000000,top
"C3","1.5n","C_0402_1005Metric",182.480000,-111.830000,90.000000,top
"C4","33p","C_0402_1005Metric",202.310000,-116.110000,90.000000,top
"C5","10p","C_0402_1005Metric",200.230000,-116.150000,90.000000,top
"D1","D","D_SMA",194.290000,-116.410000,180.000000,top
"L1","170u","L_Bourns_SRR1210A",198.050000,-108.130000,0.000000,top
"Q1","AO3400A","SOT-23",186.640000,-110.000000,90.000000,top
"R1","100k","R_0402_1005Metric",191.715000,-118.770000,0.000000,top
"R2","1.5k","R_0402_1005Metric",201.290000,-116.120000,90.000000,top
"R3","0.1","R_1206_3216Metric",189.970000,-110.720000,90.000000,top
"R4","13k","R_0402_1005Metric",199.160000,-116.135000,90.000000,top
"R5","82","R_0402_1005Metric",190.880000,-103.940000,90.000000,top
"U1","LM317_3PinPackage","TO-252-2",178.400000,-108.180000,90.000000,top
"U2","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",185.290000,-119.410000,0.000000,top
"U3","MC34063AD","SOIC-8_3.9x4.9mm_P1.27mm",186.610000,-105.320000,0.000000,top
